% Model:              RWGS_demo_CeO2_cycle1_CO2.mph
% Version:            COMSOL 5.6.0.341
% Date:               Jun 29 2022, 10:20
% Dimension:          1
% Nodes:              1386
% Expressions:        7
% Description:        Dependent variable u2
% X                       u2 (1) @ t=0             u2 (1) @ t=80            u2 (1) @ t=160           u2 (1) @ t=240           u2 (1) @ t=320           u2 (1) @ t=400           u2 (1) @ t=436.56
8.30591244150007E-4       0.11382520193787429      0.10886956284760088      0.10309369431487433      0.09625048899662587      0.08735076721205393      0.07325292174703057      0.022967676104896098
8.564548550839145E-4      0.11362897930742187      0.10870530112330012      0.10294825160236704      0.09611492969463356      0.08722155872660578      0.07312757028713532      0.022886145102734713
8.82809126918689E-4       0.11343053007939277      0.10853721436343372      0.10279896709700273      0.09597566796932325      0.08708879531677405      0.07299881884145404      0.022802862694526548
9.096633680266289E-4      0.11322984854046161      0.1083653414655524       0.10264584887444297      0.09583270235297514      0.08695247348866166      0.07286666770740861      0.02271785722501842
9.370270633700102E-4      0.1130269294888464       0.10818972425113382      0.10248890835449073      0.0956860344386185       0.08681259263729231      0.07273112006432456      0.02263115888014715
9.649098778511818E-4      0.11282176824410935      0.10801040724274788      0.10232816025454947      0.09553566887380147      0.0866691550497374       0.07259218197210236      0.02254279962664114
9.933216597262328E-4      0.1126143606567149       0.10782743743016783      0.10216362253060476      0.09538161334460316      0.08652216589969944      0.07244986236158169      0.022452813148013555
0.0010222724440834042     0.11240470311732975      0.10764086402734525      0.1019953163058985       0.09522387854984549      0.08637163323348301      0.07230417301658493      0.022361234777209894
0.0010517724563875073     0.1121927925658447       0.10745073822229644      0.1018232657875708       0.09506247816552352      0.08621756794734255      0.07215512854767198      0.022268101426180166
0.0010818321160915663     0.11197862650010851      0.10725711292201717      0.10164749817163757      0.09489742879953511      0.08605998375624692      0.07200274635768822      0.022173451512643494
0.0011124620403169952     0.11176220298435706      0.10706004249461155      0.10146804353675891      0.09472874993685446      0.08589889715415092      0.071847046599231        0.02207732488431257
0.0011436730476035732     0.11154352065732004      0.10685958251085675      0.10128493472735328      0.09455646387535137      0.08573432736590834      0.07168805212420712      0.021979762740843907
0.0011754761617305807     0.11132257873999667      0.10665578948741401      0.10109820722669824      0.09438059565252829      0.08556629629102713      0.07152578842570856      0.021880807553782133
0.0012078826156104062     0.1110993770430793       0.10644872063388933      0.10090789902074698      0.09420117296350114      0.08539482843949806      0.0713602835724707       0.021780502984758553
0.0012409038552560392     0.11087391597401829      0.1062384336058808       0.1007140504534697       0.09401822607061536      0.08521995085999653      0.07119156813622363      0.021678893802204866
0.0012745515438238114     0.11064619654370922      0.10602498626606621      0.10051670407460048      0.09383178770514848      0.08504169306079083      0.07101967511229645      0.0215760257968382
0.0013088375657328527     0.11041622037278673      0.10580843645527395      0.1003159044807537       0.09364189296159796      0.08486008692374199      0.07084463983385703      0.021471945696171557
0.0013437740308626775     0.11018398969752186      0.10558884177535183      0.10011169815091295      0.09344857918511619      0.08467516661182944      0.07066649988022536      0.02136670107829751
0.001379373278830424      0.10994950737530118      0.10536625938546865      0.09990413327736875      0.0932518858526999       0.08448696847066525      0.07048529497973072      0.021260340285191994
0.0014156478833492168     0.1097127768896776       0.1051407458133163       0.09969325959321135      0.09305185444878045      0.08429553092450529      0.07030106690758525      0.021152912335776902
