% Model:              RWGS_demo_CeO2_cycle2_H2.mph
% Version:            COMSOL 5.6.0.341
% Date:               Jun 28 2022, 11:32
% Dimension:          1
% Nodes:              1386
% Expressions:        7
% Description:        
% X                       c/c_max (1) @ t=0        c/c_max (1) @ t=80       c/c_max (1) @ t=160      c/c_max (1) @ t=240      c/c_max (1) @ t=320      c/c_max (1) @ t=400      c/c_max (1) @ t=446.73
0.9625796870085895        0.9995507825741478       0.9992660270147572       0.9986074460783668       0.9962811836634563       0.8651668854610245       0.5523063422580246       0.4791585038698501
0.9632862924622406        0.9995649200862409       0.9992886875767465       0.9986492588300616       0.9963885279742327       0.8675778645593449       0.5528977955689459       0.47958091971605266
0.9639797424141721        0.9995786071610063       0.9993106282388645       0.9986897658483526       0.9964925566945398       0.8699604607350356       0.5534796327420404       0.47999595411845114
0.9646602817920512        0.9995918582886036       0.999331872306869        0.9987290087844738       0.9965933764215537       0.8723144143398248       0.5540519924436088       0.48040372859858405
0.9653281509635091        0.9996046874897695       0.9993524423365322       0.9987670279335545       0.9966910901720175       0.8746394814002917       0.554615011630873        0.48080436281157357
0.9659835858210395        0.999617108331144        0.9993723601541036       0.9988038622803874       0.9967857975111598       0.8769354340793514       0.5551688255549664       0.48119797456229496
0.9666268178653152        0.9996291339400853       0.9993916468768933       0.9988395495436169       0.996877594676313        0.8792020610939799       0.5557135677632713       0.48158467982101
0.9672580742869563        0.9996407770190011       0.999410322933877        0.9988741262184365       0.9969665746955072       0.8814391680882331       0.5562493701011455       0.4819645927384836
0.9678775780467725        0.9996520498591964       0.9994284080862222       0.9989076276179253       0.99705282750129         0.8836465779607897       0.5567763627130841       0.48233782566060324
0.9684855479545137        0.9996629643542768       0.9994459214476554       0.9989400879132101       0.997136440040015        0.8858241311464473       0.5572946740433719       0.48270448914253344
0.9690821987461549        0.9996735320130962       0.999462881504587        0.9989715401727949       0.9972174963768131       0.8879716858512156       0.557804430836296        0.48306469196243745
0.9696677411597403        0.9996837639722891       0.9994793061359273       0.9990020164016372       0.9972960777964581       0.8900891182408006       0.5583057581359806       0.4834185411348015
0.9702423820098163        0.9996936710083828       0.999495212632542        0.9990315475810599       0.9973722629003197       0.8921763225825187       0.55879877928593         0.483766141923411
0.9708063242604799        0.999703263549517        0.9995106177162958       0.9990601637115032       0.9974461276995836       0.8942332113408522       0.5592836159283677       0.48410759785402496
0.9713597670970642        0.9997125516867684       0.9995255375586471       0.9990878938618504       0.9975177457049087       0.8962597152270223       0.5597603880034561       0.48444301072680135
0.9719029059964928        0.9997215451851177       0.9995399877987782       0.9991147662319555       0.9975871880126833       0.8982557832031985       0.5602292137485086       0.48477248062853784
0.9724359327963208        0.9997302534940422       0.9995539835612228       0.9991408082187614       0.9976545233880283       0.9002213824420776       0.5606902096972879       0.48509610594478525
0.972959035762494         0.9997386857577698       0.9995675394729977       0.9991660464231105       0.9977198183446899       0.9021564982427991       0.5611434906795162       0.48541398337190406
0.9734723996558425        0.9997468508251932       0.9995806696802174       0.999190506623576        0.9977831372219551       0.9040611339042708       0.5615891698206927       0.4857262079291346
0.9739762057973415        0.9997547572594597       0.9995933878641985       0.9992142137646696       0.9978445422587164       0.905935310557201        0.5620273585423577       0.48603287297075437
0.9744706321321509        0.9997624133472498       0.999605707257051        0.9992371919585599       0.9979040936648028       0.9077790669562068       0.5624581665629058       0.48633407019839453
0.9749558532924683        0.9997698271077455       0.9996176406567653       0.9992594644961488       0.9979618496896937       0.9095924592335765       0.5628817018990803       0.48662988967359744
0.9754320406592083        0.9997770063013145       0.9996292004417989       0.9992810538645308       0.9980178666887181       0.9113755606163446       0.5632980708682654       0.4869204198306879
0.9758993624225346        0.9997839584379012       0.9996403985851775       0.9993019817687382       0.9980721991868449       0.9131284611084628       0.5637073780916937       0.48720574749003726
0.9763579836412652        0.9997906907851523       0.9996512466681159       0.9993222691562815       0.9981248999401586       0.9148512671399738       0.5641097264986894       0.48748595787179483
0.9768080663011712        0.9997972103762703       0.9996617558931767       0.9993419362434297       0.9981760199951131       0.9165441011851533       0.5645052173320544       0.48776113461016113
